severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
1.5,240.0,absolute,35.0,machine,44,False,,False,,,,0,with_anomaly,35.0,,,
1.5,240.0,absolute,35.0,machine,45,False,,False,,,,0,with_anomaly,35.0,,,
1.5,240.0,absolute,35.0,machine,46,False,,False,,,,0,with_anomaly,35.0,,,
1.5,240.0,absolute,35.0,machine,47,False,,False,,,,0,with_anomaly,35.0,,,
1.5,240.0,absolute,35.0,machine,48,False,,False,,,,0,with_anomaly,35.0,,,
1.5,240.0,absolute,35.0,machine,49,False,,False,,,,0,with_anomaly,35.0,,,
0.0,0.0,absolute,35.0,,242,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,243,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,244,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,245,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,246,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,247,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,248,,,,,,,0,no_anomaly,35.0,0.0,,
0.0,0.0,absolute,35.0,,249,,,,,,,0,no_anomaly,35.0,0.0,,
1.5,240.0,absolute,40.0,machine,42,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,43,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,44,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,45,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,46,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,47,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,48,False,,False,,,,0,with_anomaly,40.0,,,
1.5,240.0,absolute,40.0,machine,49,False,,False,,,,0,with_anomaly,40.0,,,
0.0,0.0,absolute,40.0,,242,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,243,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,244,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,245,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,246,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,247,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,248,,,,,,,0,no_anomaly,40.0,0.0,,
0.0,0.0,absolute,40.0,,249,,,,,,,0,no_anomaly,40.0,0.0,,
1.5,240.0,absolute,50.0,machine,42,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,43,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,44,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,45,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,46,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,47,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,48,False,,False,,,,0,with_anomaly,50.0,,,
1.5,240.0,absolute,50.0,machine,49,False,,False,,,,0,with_anomaly,50.0,,,
0.0,0.0,absolute,50.0,,242,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,243,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,244,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,245,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,246,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,247,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,248,,,,,,,0,no_anomaly,50.0,0.0,,
0.0,0.0,absolute,50.0,,249,,,,,,,0,no_anomaly,50.0,0.0,,
1.5,240.0,absolute,75.0,machine,42,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,43,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,44,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,45,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,46,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,47,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,48,False,,False,,,,0,with_anomaly,75.0,,,
1.5,240.0,absolute,75.0,machine,49,False,,False,,,,0,with_anomaly,75.0,,,
0.0,0.0,absolute,75.0,,242,,,,,,,0,no_anomaly,75.0,0.0,,
0.0,0.0,absolute,75.0,,243,,,,,,,0,no_anomaly,75.0,0.0,,
